Name,Category,ImageLocation
Bastani,Dessert,Bastani
Chocolate Heaven Waffle,Dessert,Chocolate_heaven_waffle
Coconut Mango Mousse,Dessert,Coconut_mango_mousse
Faloodeh,Dessert,Faloodeh
Homemade Molten Lava Cake,Dessert,Homemade_Molten_Lava_Cake
Keto Cheesecake,Dessert,Keto_cheesecake
Macaron,Dessert,Macaron
Matcha Lava Cake,Dessert,Matcha_Lava_Cake
Sailor Mood Luna Melonpan,Dessert,Sailor_Moon_Luna_melonpan
Strawberry Tart,Dessert,Strawberry_Tart
Whistler,Dessert,Whistler
White Chocolate Raspberry Cheesecake,Appetizer,White_chocolate_raspberry_cheesecake
