Id,Name,Category,ImageLocation
100,Amritsari Kulcha,Main,Amritsari_kulcha,
101,Balti Chicken,Main,Balti_chicken
102,BBQ Duck Lychee Curry,Main,BBQ_duck_lychee_curry
103,Butter Chicken,Main,Butter_Chicken
104,Chicken Chop Suey,Main,Chicken_Chop_Suey
105,Chicken Tikka,Main,Chicken_tikka
106,Crab Roe,Main,Crab_roe
107,Fish Pakora,Main,Fish_Pakora
108,Korean Mixed Rice Bowl,Main,Korean_Mixed_Rice_Bowl
109,Lamb Chop,Main,Lamb_Chop
110,Madrasi Prawns Coconut Curry,Main,Madrasi_prawns_coconut_curry
111,Paneer Tikka,Main,Paneer_Tikka
112,Pork Bone Soup,Main,Pork_Bone_Soup
113,Pork Sisig,Main,Pork_Sisig,
114,Sauteed Prawns with Greens,Main,Sauteed_Prawns_With_Greens
115,Shahi Paneer,Main,Shahi_paneer
116,Special Chow Mein,Main,Special_Chow_Mein
117,Spicy Seafood Noodle Soup,Main,Spicy_Seafood_noodle_soup
118,Stir Fried Seafood Veggie,Main,Stir_Fried_Seafood_Veggie
119,Sweet And Sour Boneless Pork with Pineapple,Main,Sweet_And_Sour_Boneless_Pork_With_Pineapple
